"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Surpresa"
2,0,0,1,0,1,0,0,1,1,0,2,1,0,0,3,0,0,1,1,0,1,0,1,"Medo"
0,0,2,2,0,1,0,0,4,1,0,0,0,0,0,4,1,0,0,1,2,2,0,0,"Surpresa"
1,0,1,0,1,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,2,0,1,"Tristeza"
1,1,2,4,0,1,0,0,4,2,2,1,0,1,2,6,0,0,2,1,3,2,0,1,"Surpresa"
0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,"Medo"
2,0,0,1,0,1,1,0,0,1,1,1,0,0,1,2,0,1,0,1,0,3,0,0,"Medo"
0,0,3,0,0,2,0,0,3,2,0,0,0,0,1,2,1,1,0,0,1,3,0,1,"Neutro"
1,1,0,2,0,0,0,1,1,1,1,0,0,0,0,4,0,0,0,1,2,1,0,0,"Surpresa"
0,0,2,3,0,0,0,0,3,1,1,0,0,0,1,4,0,0,0,1,3,1,0,0,"Medo"
0,1,1,2,1,0,0,1,1,3,0,0,1,0,1,3,0,0,0,0,2,2,0,1,"Neutro"
1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,"Tristeza"
0,0,1,4,1,1,0,0,4,3,0,0,1,0,1,4,1,0,0,0,3,3,1,0,"RaivaTristeza"
0,1,3,5,0,0,0,0,4,5,0,0,0,0,0,9,0,0,0,0,5,4,0,0,"AlegriaNeutro"
0,0,1,3,0,0,0,0,2,2,0,0,0,0,1,3,0,0,0,0,2,2,0,0,"Neutro"
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"NeutroSurpresa"
2,0,3,0,0,0,0,0,3,1,0,1,0,0,0,5,0,0,2,0,3,0,0,0,"AlegriaNeutro"
0,0,2,4,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,4,2,0,0,"NeutroTristeza"
0,1,2,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,1,0,2,0,0,0,"Neutro"
2,0,2,2,2,0,2,1,1,4,0,0,0,1,2,5,0,0,1,0,1,5,0,1,"DesgostoMedo"
0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,"Tristeza"
1,0,2,3,0,1,1,0,4,2,0,0,0,0,0,6,0,1,1,1,2,1,0,2,"DesgostoTristeza"
0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,"Alegria"
1,0,4,1,0,0,0,1,2,2,1,0,0,0,2,4,0,0,0,1,3,2,0,0,"AlegriaNeutro"
1,2,0,0,0,2,1,1,1,1,1,0,0,0,0,4,1,0,1,2,0,1,0,1,"NeutroSurpresa"
0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,"Neutro"
0,1,2,1,0,0,0,1,1,2,0,0,0,0,1,3,0,0,0,1,2,1,0,0,"NeutroSurpresa"
0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,"DesgostoTristeza"
0,0,0,2,0,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0,1,1,0,1,"Neutro"
0,0,2,5,0,1,0,0,1,7,0,0,1,1,0,5,0,1,0,0,2,2,0,4,"Surpresa"
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"MedoTristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
0,0,3,4,0,0,0,0,2,5,0,0,1,0,2,4,0,0,0,1,4,1,0,1,"AlegriaNeutro"
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"AlegriaNeutro"
2,0,3,0,0,0,1,0,3,0,0,1,0,0,1,4,0,0,1,0,2,2,0,0,"AlegriaNeutro"
1,0,2,3,0,0,1,0,2,3,0,0,0,0,2,4,0,0,1,0,3,2,0,0,"Tristeza"
1,0,2,2,0,0,0,0,3,2,0,0,0,0,0,5,0,0,0,1,3,1,0,0,"DesgostoTristeza"
1,0,1,4,0,0,1,0,4,1,0,0,0,0,1,5,0,0,1,0,4,1,0,0,"SurpresaTristeza"
0,0,1,1,0,1,0,0,1,2,0,0,0,1,0,2,0,0,0,0,1,1,0,1,"DesgostoNeutro"
2,1,0,3,0,0,1,0,2,2,0,1,0,0,0,6,0,0,2,0,3,1,0,0,"RaivaTristeza"
1,0,1,1,0,1,1,0,3,0,0,0,0,0,0,3,1,0,1,0,3,0,0,0,"Neutro"
1,1,0,2,0,0,1,1,2,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,"RaivaTristeza"
1,0,1,4,0,1,1,0,2,4,0,0,1,0,1,5,0,0,1,0,4,1,0,1,"Surpresa"
2,1,2,3,0,0,0,1,2,3,1,1,0,0,1,7,0,0,0,2,6,0,0,0,"Medo"
1,1,0,3,0,0,1,0,1,2,0,1,0,0,1,4,0,0,2,0,2,1,0,0,"Tristeza"
1,0,2,1,0,1,1,0,2,2,0,0,0,0,2,3,0,0,0,0,1,3,0,1,"Neutro"
2,0,0,2,0,1,0,0,2,2,1,0,1,0,1,3,0,0,1,0,1,2,0,0,"AlegriaNeutro"
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"Tristeza"
0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,2,2,0,0,"Tristeza"
0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,2,0,1,0,0,"Tristeza"
0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,1,1,0,0,1,"DesgostoTristeza"
0,0,1,3,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,3,1,0,0,"Neutro"
0,0,2,2,0,0,0,0,3,1,0,0,0,0,1,3,0,0,0,0,3,1,0,0,"SurpresaTristeza"
2,0,1,2,0,0,1,0,0,3,1,0,0,0,0,5,0,0,0,1,0,4,0,0,"Tristeza"
0,0,1,3,0,0,0,0,1,3,0,0,1,0,1,2,0,0,0,0,3,0,0,1,"NeutroSurpresa"
0,0,2,0,0,2,0,0,2,2,0,0,1,1,0,2,0,0,0,0,2,0,2,0,"Neutro"
1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,"DesgostoTristeza"
0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,2,1,0,0,"MedoTristeza"
2,0,0,3,0,1,2,0,2,2,0,0,1,0,0,5,0,0,2,1,2,0,0,1,"MedoRaiva"
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"MedoTristeza"
1,0,1,0,3,1,0,1,0,5,0,0,3,0,1,2,0,0,0,0,1,2,0,3,"Desgosto"
0,0,0,3,0,2,0,0,2,3,0,0,2,0,1,2,0,0,0,0,3,0,0,1,"Alegria"
2,0,1,4,0,1,1,0,2,4,1,0,1,0,1,6,0,0,1,1,3,2,0,1,"Alegria"
0,0,0,2,0,1,0,0,1,2,0,0,1,0,0,2,0,0,1,0,1,0,0,1,"NeutroTristeza"
3,0,0,3,0,0,1,0,2,0,2,1,0,0,1,4,0,1,1,2,1,1,0,1,"SurpresaTristeza"
0,0,2,3,0,1,1,0,3,2,0,0,1,0,0,5,0,0,1,0,4,0,0,1,"Tristeza"
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"SurpresaTristeza"
2,0,1,2,0,3,0,0,1,5,2,0,3,0,0,4,0,1,0,2,1,1,1,3,"AlegriaSurpresa"
1,0,4,2,0,0,1,0,5,1,0,0,0,0,0,7,0,0,1,1,3,2,0,0,"MedoTristeza"
2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,"Tristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoTristeza"
0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,3,0,0,0,0,2,2,0,0,"MedoTristeza"
0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,2,1,0,0,0,0,2,"DesgostoMedo"
0,1,0,3,1,0,0,1,1,3,0,0,2,0,0,3,0,0,0,1,1,1,0,2,"NeutroSurpresa"
0,0,1,3,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,3,1,0,0,"NeutroTristeza"
0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"MedoSurpresa"
1,0,0,1,1,1,1,0,0,3,0,0,2,0,1,1,0,0,1,0,1,0,1,0,"NeutroSurpresa"
0,0,1,1,0,1,0,0,1,2,0,0,0,1,0,2,0,0,0,0,1,1,0,1,"DesgostoSurpresa"
2,0,2,1,0,0,0,0,1,2,1,1,0,0,1,4,0,0,0,2,1,1,0,1,"MedoTristeza"
0,1,0,5,0,0,0,1,3,2,0,0,0,0,0,5,0,1,0,0,5,0,0,1,"DesgostoTristeza"
1,0,0,2,0,0,0,1,1,0,0,1,0,0,0,3,0,0,1,1,1,0,0,0,"MedoSurpresa"
3,0,1,3,0,0,2,0,3,1,1,0,0,0,0,7,0,0,2,1,3,0,0,1,"Tristeza"
1,0,0,0,1,1,1,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,2,"MedoRaiva"
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"MedoTristeza"
3,0,2,0,0,0,0,0,2,1,0,2,0,0,0,5,0,0,1,1,1,2,0,0,"Tristeza"
1,1,0,2,0,0,1,0,0,2,0,1,0,0,1,3,0,0,1,1,1,1,0,0,"DesgostoTristeza"
1,0,2,2,0,1,1,0,2,3,0,0,0,0,1,4,0,1,1,0,3,2,0,0,"RaivaTristeza"
1,1,0,3,0,1,1,1,0,4,0,0,1,1,1,3,0,0,1,0,1,2,0,2,"AlegriaSurpresa"
0,0,0,2,1,1,0,0,3,1,0,0,1,0,0,2,1,0,0,0,1,2,0,1,"Neutro"
0,2,4,5,0,1,0,0,7,4,0,1,0,1,1,10,0,0,1,0,8,2,1,0,"AlegriaTristeza"
1,0,0,1,0,2,0,0,1,2,0,1,0,1,1,1,0,1,1,0,1,0,0,2,"Tristeza"
1,0,1,1,1,2,0,1,2,2,0,1,1,0,1,3,0,1,0,1,1,2,0,2,"Tristeza"
1,0,1,4,2,0,1,1,4,2,0,0,1,0,1,6,0,0,0,1,2,4,0,1,"Tristeza"
0,0,1,2,0,1,0,0,1,3,0,0,2,0,0,2,0,0,0,0,2,0,0,2,"MedoTristeza"
1,1,0,1,1,2,1,1,1,3,0,0,1,1,1,3,0,0,1,0,2,0,1,2,"Tristeza"
0,0,2,3,0,0,0,2,2,1,0,0,1,0,0,4,0,0,0,0,3,1,0,1,"NeutroTristeza"
0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"AlegriaSurpresa"
0,0,1,3,0,1,0,0,3,2,0,0,0,0,2,3,0,0,0,0,4,0,0,1,"Neutro"
0,1,4,0,0,1,0,1,3,2,0,0,0,0,0,6,0,0,0,1,4,0,0,1,"DesgostoTristeza"
0,1,0,1,1,1,0,0,0,3,0,1,2,0,0,2,0,0,1,0,0,1,0,2,"Desgosto"
2,0,1,1,0,0,1,0,1,1,0,1,0,0,0,4,0,0,2,0,2,0,0,0,"SurpresaTristeza"
0,0,2,5,0,1,0,0,2,6,0,0,0,1,0,7,0,0,1,0,4,2,0,1,"NeutroSurpresa"
1,1,0,2,0,0,0,0,1,1,1,1,0,0,0,4,0,0,2,0,1,1,0,0,"SurpresaTristeza"
0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"NeutroSurpresa"
2,0,1,0,1,0,1,0,1,2,0,0,1,0,0,3,0,0,0,0,1,2,0,1,"Tristeza"
1,1,0,3,1,0,0,0,2,2,1,1,0,1,0,5,0,0,2,0,3,0,0,1,"DesgostoNeutro"
1,0,3,0,0,0,1,0,3,1,0,0,0,0,0,5,0,0,1,1,2,1,0,0,"DesgostoTristeza"
0,0,3,2,0,0,0,0,4,1,0,0,0,0,0,5,0,0,0,0,4,1,0,0,"Desgosto"
1,0,0,1,0,1,1,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,1,1,"MedoTristeza"
0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,1,2,1,0,0,"Neutro"
0,0,1,2,1,0,0,0,2,2,0,0,1,0,2,1,0,0,0,0,2,1,0,1,"Tristeza"
1,0,3,1,0,1,0,0,1,4,0,1,0,1,2,3,0,0,1,0,2,2,0,0,"Tristeza"
2,0,2,1,0,0,2,0,3,0,0,0,0,0,2,3,0,0,1,0,3,1,0,0,"DesgostoRaiva"
0,0,1,4,1,0,0,1,5,0,0,0,0,0,0,6,0,0,0,0,4,2,0,0,"NeutroSurpresa"
1,0,0,2,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,1,1,1,0,0,"DesgostoNeutro"
0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Neutro"
1,0,2,1,0,2,1,0,2,3,0,0,1,1,0,4,0,0,1,0,2,1,0,2,"Tristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RaivaSurpresa"
2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,3,0,0,1,1,1,0,0,0,"MedoTristeza"
0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,2,1,0,0,"Neutro"
2,0,0,4,0,0,1,0,1,3,1,0,0,0,0,6,0,0,1,1,3,1,0,0,"Raiva"
1,0,0,1,0,1,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,1,0,"MedoTristeza"
3,0,2,2,0,0,1,0,3,2,0,1,0,0,1,6,0,0,3,1,1,1,0,1,"DesgostoRaiva"
0,1,1,2,0,1,0,0,3,1,0,1,0,1,0,4,0,0,0,1,3,0,0,1,"DesgostoTristeza"
2,0,1,3,2,0,2,0,1,5,0,0,1,0,1,6,0,0,1,0,4,2,0,1,"RaivaTristeza"
1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,2,0,1,0,0,"DesgostoMedo"
0,0,1,3,0,1,0,0,3,2,0,0,1,0,1,2,0,1,0,0,0,4,0,1,"Alegria"
0,1,3,0,0,1,0,2,2,1,0,0,1,0,0,4,0,0,0,2,2,0,0,0,"Neutro"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NeutroSurpresa"
