"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","desgosto"
0.5,0.06,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,-0.02,0,0,0,0,0,0,0,0.15,0,0,0,-0.08,FALSE
0.2,0.3,1.61,0,0.11,0,0.03,-1.89,0.2,0,0.17,-0.06,0.15,0,0.15,0,FALSE
0,0,0.11,0,0.21,0,0.14,0,0,0,0,0.03,-0.03,0,-0.03,0,FALSE
0,0.29,1.41,0,0.11,-0.09,0.03,-0.13,0,0,0,0.03,0.07,0,0.07,0,FALSE
0,0,0.24,0,0.19,0,-0.01,0,0,0,0,0,0.2,0,0.1,0,FALSE
3.67,0,3.81,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,FALSE
0,0,0,0,0.06,0,0.1,-1.64,0,0,0,-0.42,0,0,0,0,FALSE
0.1,0.06,3.06,0,0.09,0,0.04,-3.28,0,0,0,-0.32,0.06,0,0.06,0,FALSE
0.11,-0.03,1.21,0,0,-0.05,0,-0.08,0,0.02,0,-0.01,0,0,0,0,TRUE
0.26,0.09,1.87,0,0.1,0,0.17,-3.28,0,0,0,-0.11,0.16,0,0.16,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0.16,3.3,0,0,0,0,-1.67,0,0,0,0.09,0,0,0,0,FALSE
0.61,0,0.64,0,-0.69,0,-0.04,-0.94,0,0,0,0,-0.16,0,0.02,-0.18,FALSE
0,0.01,0,0.08,0,0,0,-1.5,0,0,0,0.09,0,-0.19,0,-0.19,FALSE
0.14,-0.68,3.47,0,0.11,0,0.06,-1.55,0.09,-0.03,0,-0.3,-0.04,0,-0.04,0,FALSE
0,0,0,0,0,0,0,-1.98,0,0,0,0.21,0,0,0,-0.14,FALSE
1.77,0.29,1.41,0,0,-1.69,0,0,0,0,0,-0.04,0,-1.45,0,0,FALSE
0.42,-0.01,0.36,-0.13,-0.62,0,0,-2.75,0,-0.01,0,-0.13,0,0,0.14,-0.9,FALSE
