"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
0.18,0.29,1.52,0,0,0,0,0,0,0,0,0,0.04,0,0.04,-0.75,"Alegria"
0.2,0,0.19,0,0,-0.18,0,-0.15,0,-0.06,0,-0.09,0.07,0,0.07,0,"Neutro"
0,0,0,0,0,0,0,-1.68,0,0,0,0,0,0,0,0,"Surpresa"
0.21,0.05,1.63,0,0,0,0,-1.68,0,0,0,-0.13,0.12,0,0.12,0,"Medo"
0.46,-0.09,5.38,0,-0.07,-0.12,0,0,0.09,0.01,0,0,0.19,0,0.19,0,"Neutro"
0.38,0,0.5,0,0,0,0,0,0,0,0,-0.06,-0.09,0,-0.09,0,"Neutro"
1.78,-0.13,1.9,0,0,-0.13,0,-0.34,0,0,0,0,0,-0.09,0,-0.09,"Alegria"
0,0,1.61,0,0,0,0,-1.89,0,0,0,-0.06,0.2,0,0.2,0,"Medo"
0.5,0.06,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
0,0,0,-0.02,0,0,0,0,0,0,0,0.15,0,0,0,-0.08,"Medo"
0.2,0.3,1.61,0,0.11,0,0.03,-1.89,0.2,0,0.17,-0.06,0.15,0,0.15,0,"Neutro"
0,0,0.11,0,0.21,0,0.14,0,0,0,0,0.03,-0.03,0,-0.03,0,"Medo"
0,0.29,1.41,0,0.11,-0.09,0.03,-0.13,0,0,0,0.03,0.07,0,0.07,0,"Medo"
0,0,0.24,0,0.19,0,-0.01,0,0,0,0,0,0.2,0,0.1,0,"Alegria"
3.67,0,3.81,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,"Surpresa"
0,0,0,0,0.06,0,0.1,-1.64,0,0,0,-0.42,0,0,0,0,"Neutro"
0.1,0.06,3.06,0,0.09,0,0.04,-3.28,0,0,0,-0.32,0.06,0,0.06,0,"Medo"
0.11,-0.03,1.21,0,0,-0.05,0,-0.08,0,0.02,0,-0.01,0,0,0,0,"DesgostoSurpresa"
0.26,0.09,1.87,0,0.1,0,0.17,-3.28,0,0,0,-0.11,0.16,0,0.16,0,"Alegria"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surpresa"
0,0.16,3.3,0,0,0,0,-1.67,0,0,0,0.09,0,0,0,0,"Medo"
0.61,0,0.64,0,-0.69,0,-0.04,-0.94,0,0,0,0,-0.16,0,0.02,-0.18,"Surpresa"
0,0.01,0,0.08,0,0,0,-1.5,0,0,0,0.09,0,-0.19,0,-0.19,"Tristeza"
0.14,-0.68,3.47,0,0.11,0,0.06,-1.55,0.09,-0.03,0,-0.3,-0.04,0,-0.04,0,"Surpresa"
0,0,0,0,0,0,0,-1.98,0,0,0,0.21,0,0,0,-0.14,"Medo"
1.77,0.29,1.41,0,0,-1.69,0,0,0,0,0,-0.04,0,-1.45,0,0,"Medo"
0.42,-0.01,0.36,-0.13,-0.62,0,0,-2.75,0,-0.01,0,-0.13,0,0,0.14,-0.9,"Neutro"
1.28,0.21,2.3,0,0,0,0,0,0,0,0,0,0.28,0,0.29,0,"Surpresa"
0.12,-0.61,0.53,0,0.24,0,0.07,0,0,0.03,0,-0.02,0.27,0,0.27,0,"Medo"
1.24,0,1.06,0,0,0,0,-1.26,0,0,0.17,-0.05,0.38,0,0.38,0,"Neutro"
0,0.15,1.76,0,0,0,0,-1.36,0,0,0,-0.04,0,0,0,0,"Tristeza"
0.14,0,0.2,0,-0.62,0,0,-2.15,0.1,0,0.16,0.44,-0.02,0,0.16,-0.18,"DesgostoRaivaTristeza"
0.43,0.15,0.37,0,0,-0.04,0,-0.15,0,0,0,0,0.09,-0.09,0.09,-0.09,"AlegriaNeutro"
0.38,0,0.5,0,0.18,0,0.06,-0.2,0,0,0,-0.06,-0.09,0,-0.09,0,"NeutroSurpresa"
0.18,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoNeutroSurpresa"
0.71,0,3.95,0,0,0,0,0,0,0,0,0,0.22,0,0.22,0,"AlegriaMedoNeutro"
0.3,0,0.36,0,0.13,-0.08,0.1,-0.11,0,0,0,0,0.19,-0.11,0.09,-0.11,"NeutroTristeza"
0.33,-0.34,1.71,0,0,0,0,0,0.09,0,0.11,0,-0.01,0,-0.01,0,"Neutro"
3.28,0.01,1.66,-0.06,-0.15,0,0,-2.22,0.09,0,0.17,-0.3,0.22,-0.07,0,0.15,"DesgostoMedoTristeza"
0,0,0.28,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0,"DesgostoTristeza"
2.16,0,2.32,0,0.01,0,0,-1.75,0,0,0,0,0.13,0,0.16,-0.8,"DesgostoTristeza"
0.19,0,0.21,0,0.21,0,0.36,0,0,0,0,0,0.15,0,0.15,0,"Alegria"
0.81,0.48,2.44,0,-0.07,0,0,0,0.09,0,0.17,0,0.13,0,0.11,0,"AlegriaNeutro"
2.67,0.01,3.96,0,-0.49,0,0,-2.4,0,0,0,0,-0.07,0,0.1,-0.17,"NeutroSurpresa"
0,0,0,0,0,0,0,-1.94,0,0,0,-0.82,0.17,0,0.17,0,"DesgostoNeutro"
1.37,0,1.46,0,0,-0.14,0,-0.27,0.2,0,0.21,0,0.36,-0.12,0.36,-0.12,"DesgostoNeutroSurpresa"
0,0,0,0,0,-0.13,0,-1.4,0,0,0,0.35,0,-0.09,0,-0.09,"DesgostoMedoTristeza"
0,0,0,0,0.31,0,0.08,-1.91,0,0,0,-0.26,0.24,0,0.27,0,"DesgostoNeutro"
0.18,0.07,0.11,0.07,0,-0.05,0.03,-1.57,0,0,0,-0.35,0.04,-0.1,-0.07,-0.85,"AlegriaSurpresa"
1.77,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoMedoTristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoMedoSurpresaTristeza"
0,0,0.52,0,0,-0.19,0,-0.18,0,-0.09,0.11,0.05,0.11,0,0.06,0,"AlegriaNeutro"
0.18,0,0.11,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,"AlegriaMedoNeutro"
2.11,-0.1,2,0,0,0,0,0,0.08,0,0,0,0,0,0,0,"AlegriaMedoNeutro"
2.08,0,2.3,0,0.06,-0.2,0.05,-0.41,0,0.01,0.07,0.01,0.13,-0.09,0.13,-0.09,"RaivaTristeza"
0.57,0,0.65,0,0.09,0,0.04,0,0,0,0,0,0.1,0,0.1,0,"DesgostoTristeza"
1.71,0,1.71,0,0.25,-0.12,0.13,-0.22,0,-0.01,0,-0.11,0.21,0,0.21,0,"DesgostoSurpresaTristeza"
0,0,0,0,0,0,0,-1.64,0,0,0,-0.42,0.06,0,0.06,0,"DesgostoNeutro"
1.78,-0.24,3.25,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0,"DesgostoRaivaTristeza"
1.83,0,1.87,0,-0.58,0,-0.51,0,0,0,0,0,-0.43,0,-0.43,0,"NeutroSurpresa"
2.58,0,2.53,0,0.24,0,0.07,0,0,0,0,0,0.49,0,0.49,0,"DesgostoMedoRaivaTristeza"
2,0,1.86,0,0,0,0.16,-1.75,0.11,0,0,-0.12,0.05,0,-0.06,0,"Surpresa"
1.44,0.14,4.08,0,0.09,0,0.04,0,0,0,0.13,0,0.47,0,0.39,0,"DesgostoMedo"
1.8,-0.14,3.41,0,0.19,0,-0.01,-0.1,0,0,0,-0.01,0.2,0,0.2,0,"MedoTristeza"
1.92,-0.01,0,-0.13,0.1,0,0.21,-1.9,0,-0.01,0,-0.99,0,0,0,0,"Neutro"
0,0.05,1.49,0,-0.07,0,0,-1.89,0.09,0,0,-0.06,-0.01,0,-0.01,0,"AlegriaDesgostoNeutro"
0.18,0,0.11,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0,"MedoTristeza"
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,0,"DesgostoTristeza"
0.1,0.01,1.22,0,0.23,0,0.35,0,0,0,0,0,0.06,0,0.06,0,"DesgostoTristeza"
0.33,0,0.41,0,0,0,0,0,0,0,0,0,-0.01,0,-0.01,0,"DesgostoTristeza"
0,-0.01,0.12,0,0.28,-0.33,0.12,-0.38,0,0,0,0,0.39,-0.24,0.39,-0.24,"Neutro"
0.23,0,0.48,0,0,0,0,0,0,-0.1,0,-0.07,0.07,0,0.07,0,"DesgostoSurpresaTristeza"
1.66,0.1,1.31,-0.02,0,0,0,-0.49,0,0,0,0,0,0,0,-0.22,"SurpresaTristeza"
0.12,0,0.1,0,0,0,0,0,0,0,0.28,-0.19,0.03,0,0.03,0,"NeutroSurpresa"
0.38,0,0.44,0,0,0,0,-3.1,0,0,0,0.08,0.09,0,0.09,0,"Neutro"
0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoTristeza"
0,0,0,0,0.23,-0.19,0.15,-0.25,0,0,0,0,0.19,0,0.19,0,"MedoNeutroTristeza"
3.5,0,3.67,0,0.28,0,0.4,-1.68,0,0,0,0.08,0.2,0,0.2,0,"MedoRaivaTristeza"
0,-0.16,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
0,0.05,0.13,0,-0.12,0,0,-5.54,0,0.02,0.1,-0.13,0.16,0,0,0.16,"Desgosto"
0,0,0,0,0,0,0,-3.82,0.12,0,0.1,-0.32,0.1,0,0.1,0,"AlegriaSurpresa"
1.91,0.21,3.54,0,0,0,0,-1.73,0,-0.05,0,-0.29,0.04,0,0.04,0,"Alegria"
0,0,0,0,0,0,0,-1.48,0,0,0,-0.01,0,0,0,0,"NeutroTristeza"
1.78,0.48,4.85,0,0.01,0,0,0,0.08,0,0.11,0,-0.03,-1.74,0,-1.74,"SurpresaTristeza"
0.35,0,0.37,0,0.19,0,-0.01,-1.5,0,0,0,0.23,0.28,0,0.28,0,"Tristeza"
0,0,0,0,0,0,0,-1.63,0,0,0,0,0,0,0,0,"SurpresaTristeza"
0.17,0.65,3.14,0,0,0,0,-5.06,0,0,0,-0.13,0.06,0,0.06,-1.1,"AlegriaSurpresa"
2.59,0.05,2.75,-0.04,0.02,0,0.1,-0.23,0,0,0,0,0.08,-0.1,0.19,-0.21,"MedoTristeza"
3.42,0.08,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoTristeza"
0.09,0,0.11,0,0,-0.07,0,-0.11,0,0,0,-0.04,0.08,0,0.08,0,"MedoTristeza"
0,-0.16,1.61,0,0,-1.85,0,-1.75,0,0,0,0,0,-1.88,0,-2.81,"DesgostoMedo"
0.89,0,0.84,0,0,0,0,-1.28,0,0,0,-0.01,0.1,0,0.1,0,"NeutroSurpresa"
0.26,0,0.27,0,0.24,0,0.1,-0.1,0,0,0,0,0.25,0,0.25,-0.07,"NeutroTristeza"
0,0,0,0,0.19,0,-0.01,0,0,0,0,0,0.2,0,0.2,-0.06,"MedoSurpresa"
1.59,0,1.62,0,0,0,0,-3.18,0,0.04,0.18,0.16,0,0,0,0,"NeutroSurpresa"
0.15,0,0.1,0,0,-0.05,0,-1.87,0,0,0,-0.42,0,-0.06,0,-0.06,"DesgostoSurpresa"
0.24,0.15,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
1.28,0,0.98,0,0.36,0,0.38,0,0,0,0,0,0.61,0,0.61,-0.71,"DesgostoTristeza"
0,0.11,1.91,0,0.3,0,0.08,0,0,0,0,0,0.3,0,0.3,0,"MedoSurpresa"
