"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","desgosto"
8.643856,0,17.60964,0,7.158429,0,0,7.158429,0,17.60964,8.643856,0,0,0,17.60964,15.802286,0,0,0,8.643856,9.965784,14.802286,0,0,FALSE
8.965784,0,0,3.272297,0,0,8.965784,0,0,3.272297,0,0,0,0,0,12.238082,0,0,8.965784,0,3.272297,0,0,0,FALSE
0,0,22.183107,18.543103,0,0,0,0,17.723676,23.002535,0,0,0,0,17.124214,23.601997,0,0,0,0,30.760427,9.965784,0,0,FALSE
0,8.158429,0,47.741459,0,17.761644,0,0,37.775674,27.727428,0,8.158429,17.761644,0,4.878321,51.021567,0,0,8.158429,0,31.897353,15.844106,6.795859,10.965784,FALSE
0,0,5.92139,8.965784,0,5.083141,0,0,14.887174,5.083141,0,0,5.083141,0,0,14.887174,0,0,0,0,5.92139,8.965784,0,0,FALSE
0,0,9.965784,15.844106,0,0,0,0,25.80989,0,0,0,0,0,4.878321,20.931569,0,0,0,9.965784,10.965784,4.878321,0,0,FALSE
3.02327,0,16.316859,6.573467,0,6.506353,3.02327,0,6.573467,22.823211,0,0,0,0,0,25.913595,0,6.506353,3.02327,0,22.890326,6.506353,0,0,FALSE
0,0,0,9.965784,0,0,0,0,9.965784,0,0,0,0,0,0,9.965784,0,0,0,0,9.965784,0,0,0,FALSE
0,8.158429,21.141631,0,10.965784,0,0,0,8.158429,23.948986,0,8.158429,10.965784,0,5.717857,23.582203,0,0,8.158429,0,15.423774,5.717857,0,10.965784,FALSE
0,0,16.024678,0,9.965784,7.965784,0,0,16.024678,17.931569,0,0,9.965784,0,9.965784,6.058894,0,7.965784,0,0,16.024678,0,0,17.931569,FALSE
0,0,26.31239,0,0,0,0,8.965784,7.965784,9.380822,0,0,0,0,17.346606,8.965784,0,0,0,8.965784,17.346606,0,0,0,FALSE
3.02327,0,7.158429,17.815537,0,10.965784,3.02327,0,17.815537,18.124214,0,0,10.965784,0,4.878321,23.118914,0,0,3.02327,0,20.095644,4.878321,10.965784,0,TRUE
9.965784,0,0,32.73169,0,0,9.965784,0,29.459393,3.272297,0,0,0,0,10.965784,31.73169,0,0,9.965784,9.380822,23.350868,0,0,0,FALSE
3.02327,0,28.31239,3.272297,0,0,3.02327,10.965784,7.965784,12.653119,0,0,0,0,0,23.642173,10.965784,0,3.02327,0,22.203866,9.380822,0,0,FALSE
8.965784,0,6.573467,16.539251,0,0,0,0,14.731896,8.380822,8.965784,0,0,0,0,23.697681,0,8.380822,0,8.965784,6.573467,8.158429,0,8.380822,FALSE
0,0,10.965784,27.4055,0,0,0,0,10.965784,27.4055,0,0,0,0,27.4055,10.965784,0,0,0,0,10.965784,27.4055,0,0,FALSE
0,0,0,6.573467,0,18.761644,0,0,0,25.33511,0,0,0,0,0,25.33511,0,0,0,0,6.573467,0,0,18.761644,FALSE
