"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
0,1,2,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,1,0,2,0,0,0,"Neutro"
2,0,2,2,2,0,2,1,1,4,0,0,0,1,2,5,0,0,1,0,1,5,0,1,"DesgostoMedoTristeza"
0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,"DesgostoTristeza"
1,0,2,3,0,1,1,0,4,2,0,0,0,0,0,6,0,1,1,1,2,1,0,2,"DesgostoTristeza"
0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,"Alegria"
1,0,4,1,0,0,0,1,2,2,1,0,0,0,2,4,0,0,0,1,3,2,0,0,"AlegriaNeutro"
1,2,0,0,0,2,1,1,1,1,1,0,0,0,0,4,1,0,1,2,0,1,0,1,"NeutroSurpresa"
0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,"DesgostoNeutro"
0,1,2,1,0,0,0,1,1,2,0,0,0,0,1,3,0,0,0,1,2,1,0,0,"DesgostoNeutroSurpresa"
0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,"DesgostoMedoTristeza"
0,0,0,2,0,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0,1,1,0,1,"DesgostoNeutro"
0,0,2,5,0,1,0,0,1,7,0,0,1,1,0,5,0,1,0,0,2,2,0,4,"AlegriaSurpresa"
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"DesgostoMedoTristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoMedoSurpresaTristeza"
0,0,3,4,0,0,0,0,2,5,0,0,1,0,2,4,0,0,0,1,4,1,0,1,"AlegriaNeutro"
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"AlegriaMedoNeutro"
2,0,3,0,0,0,1,0,3,0,0,1,0,0,1,4,0,0,1,0,2,2,0,0,"AlegriaMedoNeutro"
