"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
1.69,0,1.59,0,0.37,0,0.18,-0.27,0.09,-0.03,0,-0.15,0.28,0,0.39,-0.23,"Neutro"
0.46,-0.5,1.73,0,0,0,0,-0.11,0.15,0,0.25,0,0.04,0,0.04,-0.06,"Neutro"
0.23,-0.13,1.66,0,-0.07,0,0,0,0.09,0,0,0,0.08,0,0.08,0,"Neutro"
1.19,0,1.05,0,-0.12,0,0,-5.13,0.86,0,0,-0.16,0.34,0,0.19,0.08,"Neutro"
1.93,0,2.22,0,0,0,0,0,0,0,0,0,-0.03,0,-0.03,0,"Neutro"
0,0.43,3.12,0,-0.07,0,0,0,0.09,0,0,0,0,0,0,0,"Neutro"
0,0,0,0,0,0,0,-0.42,0,0,0,0,0,0,0,-0.24,"Tristeza"
0,0.43,3.1,0,0,-0.18,0,-0.19,0,-0.03,0,-0.04,0.13,0,0.13,0,"Neutro"
0,0,0.13,0,0,0,0,-1.74,0,0,0.12,-0.48,0,0,0,-0.07,"Tristeza"
0.47,0,0.48,0,0,0,0,0,0.15,0,0.28,0,0.2,0,0.2,0,"Tristeza"
0,0,1.71,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0,"Neutro"
0,0.39,1.74,0,0.13,0,0.09,0,0,0,0,0,0.14,0,0.14,-0.75,"Alegria"
0,0,0,0,-0.06,0,-0.06,-1.89,0,0,0,-0.06,-0.14,0,-0.14,0,"Neutro"
0,0,0,0,-0.09,0,-0.02,-1.57,0.25,0,0.11,-0.26,-0.1,0,-0.1,0,"Tristeza"
0.13,0,0,0,0.18,0,0.3,-1.56,0.19,0,0.11,0.06,0.03,0,0.03,0,"Neutro"
0,-0.14,1.44,0,0.07,0,0.13,-0.1,0,0,0,0,-0.04,0,-0.01,-0.07,"Neutro"
0.5,0,0.47,0,0,0,0,0,0.11,0,0.16,0,0.11,0,0.11,0,"Neutro"
0.09,0.15,1.47,0,-0.11,0,0,-2.52,0.09,0,0,-0.06,0.4,0,0.17,0.23,"Neutro"
1.72,0,1.77,0,0.05,0,0.13,-0.35,0,0,0,0,-0.03,0,-0.03,-0.05,"Neutro"
1.13,0.21,2.45,0,0,0,0,0,0,0,0,0,0.35,0,0.24,0,"Medo"
0,0.02,0.29,0,0.26,0,0.32,0,0,0.08,0.34,0,0.18,0,0.18,0,"Desgosto"
0.67,0,0.69,0,0,0,0,-2,0.18,0,0.17,0,0.15,0,0.15,-0.82,"Surpresa"
0.37,0,0.37,0,0,-0.33,0,-2.08,0.16,0,0.26,0.19,0.19,-0.24,0.19,-0.24,"Medo"
0,-0.25,1.76,0,0.23,0,0.35,0,0,0,0,0,0.06,0,0.06,0,"Alegria"
2.14,0.13,4.64,0,0.23,0,0.35,0,0,0.03,0.2,0,0.14,-0.37,-0.23,0,"Neutro"
1.64,0,1.42,0,0,0,0,-1.63,0,0,0,-0.1,0,0,0,0,"Neutro"
0,0.21,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,"Desgosto"
0.51,0,0.49,0,0,0,0,-1.65,0,0,0,-0.29,0,0,0,0,"Alegria"
0,0,0,0,0.24,0,0.07,-0.81,0,0,0,0.01,0.21,0,0.21,0,"Desgosto"
0,-0.27,3.06,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0,"Desgosto"
0.26,0.29,1.57,0,0,-0.1,0,-2,0,0,0,0.02,-0.04,0,-0.04,0,"Neutro"
0,0,0,0,-0.2,0,-0.12,0,0.09,0,0,0,-0.26,0,-0.23,0,"Surpresa"
0,-0.15,3.03,0,-0.07,0,0,-1.68,0.09,0,0,0.06,0,0,0,0,"Desgosto"
0,0,0.23,0,0,0,0,-1.45,0,0,0,0.37,0,0,0,0,"Medo"
2.02,0,0.32,0,0.03,0,-0.06,0,0,0,0,0,-0.09,0,-0.09,0,"Surpresa"
0,0.21,1.37,0,-0.08,0,0,-2.13,0,0,0,0,0.22,0,0,-0.52,"Desgosto"
0,0,0,0,0.09,0,0.04,-0.42,0,0,0,-0.03,0.04,0,0.04,-0.24,"Tristeza"
0,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,-0.03,0,"Neutro"
0,0.19,1.73,0,0,0,0,-3,0,0,0,0.11,0,0,0,0,"Tristeza"
0.35,0,0.48,0,0.02,0,0.01,0,0.15,0,0.15,0,-0.04,0,0,0,"Tristeza"
0.42,0,0.46,0,0,0,0,-3.14,0.12,0,0.1,0.14,0.07,0,0.07,0,"Neutro"
2.82,0.22,5.99,0,0,0,0,0,0,0,0,0,0.34,0,0.34,0,"Medo"
0.21,0,0,0,0,0,0,-0.3,0.08,0,0.11,0,-0.01,0,0,-1.22,"Neutro"
0.18,0,0.2,0,0,0,0,0,0.23,0,0.25,0.09,0,0,0,0,"Neutro"
0,0,0,0,0.09,0,0.01,-1.93,0,0,0,-0.26,0.19,0,0.19,0,"Tristeza"
4.36,0,4.65,0,0.05,0,0,-1.8,0,0,0,0.08,0.34,0,0.33,0.01,"Neutro"
0.17,0.63,3.38,0,-0.07,0,0,-1.82,0.09,0,0.17,-0.04,0.09,0,0.09,0,"Neutro"
1.01,-0.1,2.23,0,0,0,0,-3.38,0,0,0,-0.01,0.27,0,0.25,0,"Tristeza"
0.77,0.06,2,0,-0.27,0,-0.31,-1.75,0,0,0,-0.12,-0.14,0,-0.14,0,"Neutro"
3.05,0,1.11,0,0.48,-0.12,0.33,-0.1,0,0.01,0,0.06,0.56,0,0.56,0,"Neutro"
0.24,0,0.24,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,"Tristeza"
2.6,0,3,0,0,-0.67,0,-2.47,0.1,0,0.16,0,0.12,-0.22,0.12,-0.96,"Raiva"
0,0,0,0,-0.05,0,0,-2.06,0,0,0,-0.02,0.15,0,-0.08,0.23,"Tristeza"
0,-0.09,1.61,0.07,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
0.17,0.32,1.66,0,0,0,0,-3.14,0,0,0,-0.62,0.09,-0.14,0.09,-0.75,"Neutro"
