"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,"Medo"
1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,"Medo"
2,1,1,1,1,0,0,2,0,1,0,1,3,0,1,2,"Neutro"
1,1,2,0,1,0,0,0,0,0,0,0,2,0,2,0,"Surpresa"
1,1,2,0,1,0,1,0,0,1,0,1,2,0,2,0,"Medo"
1,0,2,0,0,0,0,1,0,0,1,1,1,0,1,0,"Neutro"
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"Tristeza"
1,0,1,0,1,0,0,3,1,0,1,1,3,0,2,1,"RaivaTristeza"
2,1,2,0,0,1,0,1,0,0,0,0,3,1,3,1,"AlegriaNeutro"
1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,"Neutro"
1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"NeutroSurpresa"
3,1,5,0,0,0,0,0,0,0,0,0,3,0,3,0,"AlegriaNeutro"
2,0,2,0,1,1,1,1,0,0,0,0,3,1,4,1,"NeutroTristeza"
2,1,3,0,0,0,0,0,1,0,1,0,1,0,1,0,"Neutro"
2,1,2,1,2,0,0,2,1,0,1,1,1,1,0,2,"DesgostoMedo"
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"Tristeza"
3,0,3,0,1,0,0,1,0,0,0,0,4,0,3,1,"DesgostoTristeza"
1,0,1,0,2,0,2,0,0,0,0,0,3,0,3,0,"Alegria"
2,1,4,0,1,0,0,0,1,0,1,0,2,0,1,0,"AlegriaNeutro"
2,1,3,0,1,0,0,2,0,0,0,0,2,0,1,1,"NeutroSurpresa"
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,"Neutro"
2,0,3,0,0,1,0,1,1,0,1,0,1,1,1,1,"NeutroSurpresa"
0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,1,"DesgostoTristeza"
0,0,0,0,2,0,1,1,0,0,0,1,2,0,1,0,"Neutro"
1,1,1,1,0,1,1,2,0,0,0,2,1,1,2,2,"Surpresa"
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
0,0,3,0,0,1,0,1,0,1,1,2,2,0,3,0,"AlegriaNeutro"
1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"AlegriaNeutro"
4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,"AlegriaNeutro"
2,0,3,0,1,2,1,2,0,1,1,1,2,1,2,1,"Tristeza"
2,0,2,0,1,0,1,0,0,0,0,0,3,0,3,0,"DesgostoTristeza"
2,0,2,0,2,1,2,1,0,1,0,1,3,0,3,0,"SurpresaTristeza"
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,"DesgostoNeutro"
1,1,2,0,0,0,0,0,0,0,0,0,2,0,2,0,"RaivaTristeza"
2,0,2,0,2,0,2,0,0,0,0,0,2,0,2,0,"Neutro"
2,0,2,0,1,0,1,0,0,0,0,0,3,0,3,0,"RaivaTristeza"
2,0,1,0,0,0,2,1,1,0,0,1,1,0,2,0,"Surpresa"
2,2,5,0,1,0,1,0,0,0,1,0,3,0,4,0,"Medo"
1,1,2,0,1,0,1,1,0,0,0,1,1,0,1,0,"Tristeza"
2,1,0,1,1,0,1,1,0,1,0,2,1,0,1,0,"Neutro"
0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,"AlegriaNeutro"
1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"Tristeza"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Tristeza"
1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,"Tristeza"
1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"DesgostoTristeza"
0,1,1,0,1,1,1,1,0,0,0,0,2,1,2,1,"Neutro"
2,0,2,0,0,0,0,0,0,1,0,1,3,0,3,0,"SurpresaTristeza"
1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,3,"Tristeza"
1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,"NeutroSurpresa"
2,0,2,0,0,0,0,2,0,0,0,2,1,0,1,0,"Neutro"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoTristeza"
0,0,0,0,2,1,2,1,0,0,0,0,2,0,2,0,"MedoTristeza"
2,0,2,0,1,0,1,1,0,0,0,1,2,0,2,0,"MedoRaiva"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
0,1,1,0,1,0,0,4,0,1,1,3,1,0,0,1,"Desgosto"
0,0,0,0,0,0,0,2,1,0,1,2,1,0,1,0,"Alegria"
2,1,3,0,0,0,0,1,0,1,0,2,2,0,2,0,"Alegria"
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"NeutroTristeza"
1,2,3,0,1,0,0,0,1,0,1,0,1,1,0,1,"SurpresaTristeza"
2,0,2,0,1,0,1,1,0,0,0,1,2,0,2,0,"Tristeza"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"SurpresaTristeza"
1,2,3,0,0,0,0,3,0,0,0,3,1,0,1,2,"AlegriaSurpresa"
4,1,4,1,2,0,1,1,0,0,0,0,4,1,3,2,"MedoTristeza"
2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoTristeza"
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,"MedoTristeza"
0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,2,"DesgostoMedo"
1,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,"NeutroSurpresa"
1,0,1,0,1,0,1,1,0,0,0,0,2,0,2,1,"NeutroTristeza"
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,"MedoSurpresa"
1,0,1,0,0,0,0,2,0,1,1,2,0,0,0,0,"NeutroSurpresa"
1,0,1,0,0,1,0,2,0,0,0,1,0,1,0,1,"DesgostoSurpresa"
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
1,0,1,0,3,0,3,0,0,0,0,0,3,0,3,1,"DesgostoTristeza"
0,1,1,0,1,0,1,0,0,0,0,0,2,0,2,0,"MedoSurpresa"
3,1,4,0,1,0,1,0,0,0,0,0,3,0,3,0,"Tristeza"
1,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,"MedoRaiva"
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
2,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,"Tristeza"
1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,"DesgostoTristeza"
2,0,3,0,0,0,0,0,0,1,0,1,2,0,3,0,"RaivaTristeza"
2,0,2,0,0,1,0,2,0,1,0,3,1,0,1,0,"AlegriaSurpresa"
0,0,0,0,2,0,1,2,0,0,0,1,2,0,1,1,"Neutro"
3,1,5,0,3,1,3,2,1,0,1,1,5,0,5,0,"AlegriaTristeza"
0,1,1,0,0,0,0,2,1,0,1,1,0,0,0,1,"Tristeza"
1,1,2,0,1,0,0,3,1,0,1,1,1,0,0,2,"Tristeza"
2,0,1,0,4,0,2,3,0,1,0,1,5,0,3,2,"Tristeza"
0,0,1,0,0,0,0,1,0,0,0,2,1,0,2,0,"MedoTristeza"
2,0,2,0,0,0,0,3,0,0,0,3,2,0,2,0,"Tristeza"
2,0,2,0,0,0,0,0,0,0,0,1,3,0,3,0,"NeutroTristeza"
1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,"AlegriaSurpresa"
1,0,1,0,1,0,1,1,0,1,1,1,2,0,2,0,"Neutro"
4,0,5,0,0,0,0,1,0,0,0,0,3,0,3,0,"DesgostoTristeza"
0,1,1,0,0,1,0,3,0,0,0,2,0,1,0,1,"Desgosto"
2,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,"SurpresaTristeza"
2,0,2,0,0,1,1,3,0,0,0,1,1,1,2,1,"NeutroSurpresa"
0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,"SurpresaTristeza"
1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,"NeutroSurpresa"
2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,"Tristeza"
0,2,2,0,0,0,0,1,0,0,0,1,1,0,1,0,"DesgostoNeutro"
4,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,"DesgostoTristeza"
2,0,3,0,2,0,1,0,0,0,0,0,2,0,1,0,"Desgosto"
1,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,"MedoTristeza"
1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,"Neutro"
0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,"Tristeza"
1,2,3,0,0,0,0,1,0,1,1,1,0,0,0,0,"Tristeza"
4,0,3,0,0,0,0,0,2,0,2,0,1,0,1,0,"DesgostoRaiva"
1,0,1,0,3,0,2,1,0,0,0,0,2,0,1,1,"NeutroSurpresa"
0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,"DesgostoNeutro"
1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,"Neutro"
2,0,2,0,0,0,0,2,0,0,0,2,2,0,2,0,"Tristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RaivaSurpresa"
0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,"MedoTristeza"
2,0,2,0,0,1,0,1,0,0,0,0,1,1,1,1,"Neutro"
1,1,2,0,1,1,2,1,0,0,0,0,1,1,2,1,"Raiva"
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"MedoTristeza"
3,1,4,0,1,0,1,0,1,0,1,0,1,0,1,0,"DesgostoRaiva"
1,1,2,0,1,0,1,1,0,0,0,1,3,0,3,0,"DesgostoTristeza"
2,1,2,0,0,1,1,1,1,0,1,1,0,2,2,0,"RaivaTristeza"
0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"DesgostoMedo"
1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"Alegria"
4,0,4,0,0,0,0,1,0,0,0,1,4,0,4,0,"Neutro"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NeutroSurpresa"
3,2,5,0,0,0,0,1,0,0,0,1,2,0,2,0,"Neutro"
1,2,4,0,0,1,0,1,1,0,1,0,0,1,2,0,"MedoTristeza"
2,0,2,0,2,0,2,1,0,0,0,1,2,0,3,0,"MedoTristeza"
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,"MedoTristeza"
